Legal_Ref_No,GDS ID
1040001,1083741393
1620001,1083741799
590001,1084158580
1520001,1075329003
1520002,1084062657
1160001,1075429257
1170001,1083741306
1580001,1084129674
1580003,1084062157
1580301,ignore
1580302,ignore
1240001,1074534687
1460001,1075328989
720001,1075396444
720003,1084062157
710001,1084033025
710002,1075328216
710003,1084061881
1940001,A3
1940002,1084210087
270001,ignore
270131,1083741527
1610001,1075329002
1610002,1083733180
1610003,1080526062
1610111,ignore
1020001,1074535389
1570001,1075328409
1570002,1084032917
120001,1074535596
120002,A5
1590001,1085312082
1590002,1084015407
1590003,1080509167
1590071,ignore
930001,1075328164
930151,ignore
180001,1084155871
180002,A6
180003,A7
180004,A8
1120001,1075328394
860004,1084063366
990002,1075328354
1480001,ignore
1480002,1075328602
1390001,1075328443
1390002,1075329031
1790001,1083740928
1720001,1084015070
1720002,1084022770
1720003,1084033223
660001,ignore
660002,1083733037
660221,ignore
660241,1075328215
1250001,1081635380
1250002,1083740317
1250003,1084032969
2010001,1085978206
290001,1075328164
290011,ignore
1050001,1075328392
1050002,1084144464
1600001,1084211225
1600002,1084062742
1621001,1083732665
1090001,1083740451
410001,1084128926
410002,ignore (for now)
300001,1075328171
300002,1096952030
940001,1084113789
940121,ignore
1500001,1075328996
1500002,1084015168
1500003,1083732751
350001,1075396479
350003,
1800001,1085593966
941001,ignore
941111,1084113789
1810001,1075328644
1810002,1074536023
1510001,1084405697
200001,1075327978
1910001,ignore
1030001,none
1030002,1074535400
1030003,none
1030004,1084072830
9999994,
820001,1075328226
600001,1096944706
780001,1084061719
780002,none
785001,1080509283
1591001,1084015443
920001,1080509134
2000001,1097364854
140004,1084061747
140201,none
142001,1084061933
142002,1084085987
142003,none
1140002,1083742893
240001,1084001827
1470001,1075328769
1470002,1075328769
1440001,1083742337
1440002,1083741773
1300001,1085389423
1300002,1074534903
1300003,1083733002
1300004,none
610001,1096999611
800001,1084001829
970001,1084001831
1930001,none
280001,none
730001,1083741032
1000001,1084062744
10001,1085978026
1290001,1084062891
1290002,none
1290003,1083732903
1290004,1084086190
30001,1075327974
60001,1074534657
130001,none
130002,1084033266
130003,none
140501,1084062197
141001,1084062179
671001,1081626771
673001,1081626771
160001,1084033178
160002,1084033178
160003,none
160004,none
170001,1084176966
170002,1084176990
181001,1074534641
181002,1084015301
220001,1074534702
22000156,1074534702
230001,1084128892
230002,1084061668
230003,1084061704
261501,None
262001,1084114240
260001,"1074535159
1075328769"
310001,none
310002,none
320001,1084061623
320002,1085389692
320003,1083732968
320004,1084033278
1840001,1084061614
340001,none
360001,none
400001,none
400002,none
440001,1075328601
460001,1084032874
460002,1084032874
460003,1084032874
460004,1084032874
1310001,1074534931
1310002,none
1310003,none
1310004,1084099650
480001,1084088209
480002,1084011763
481001,none
481002,none
481003,noe
491001,1084126531
491002,1087107135
491003,none
500001,1085890732
401001,1085318820
570001,1074534962
1360001,none
620001,1074535039
620002,1084100404
630001,1074535039
630002,1084063424
640001,1074535039
640002,1084100404
650002,1084086387
770001,1074535639
770002,1074535639
770003,1083742585
770004,1083733104
750001,none
750002,1074535695
210002,1084970249
210003,1083741364
21000234,ignore
21000256,ignore
21000265,1084970249
810001,1074535201
810002,1074535201
810004,1084062241
830001,1084145511
840001,1084129303
850001,1084109647
850002,1084109647
850003,1084109647
860001,none
860002,none
860003,none
861001,none
880001,1084062630
910001,1084110162
910002,1084110162
910003,none
651001,none
890002,none
980001,1074535235
510001,1084128028
1180001,1075328160
1190001,1074535596
1370001,1084063281
1370002,none
1370003,none
1320001,1074535654
1320002,none
1320003,none
1320004,1084022918
1330001,1074535649
1330002,none
1330004,1084072735
1410001,1084140798
1420001,1084033310
1430001,1083742337
1430002,1083741719
1450002,1087626122
1530001,1084001825
1530002,1084062175
1531001,1084176477
1531002,
1531003,
1540001,1084128372
1540002,1084063256
1540003,1084176885
1560004,1084128787
1330003,1083733152
1640001,1084109734
1640002,none
1340001,1083741107
1710001,1075328611
1741001,
1741002,
1741003,none
1770001,none
1770002,1084022770
1770003,1084062087
1060001,1075328372
1060002,1075328372
1060003,1084063031
370001,1075328422
370003,1084014889
441001,1097052635
140101,1084061788
1400001,1084129673
1400003,none
1850001,1084109778
1852001,1084109967
1851001,1084110066
491201,1084126531
491101,1084126531
491501,1087833134
49150158,1087833134
49150161,1087833134
491401,1087833171
491301,1087833152
653001,1074535057
652001,1074535057
655001,1074535057
656001,1074535057
654001,1074535057
625001,1074535039
1830001,1084062846
371001,none
1761001,
1761002,1083742568
1761003,
890004,1084061625
1130002,1083742890
1551001,none
1552001,1083742635
1550002,1084146142
1635001,none
1900001,1084110661
1880001,1084140848
1890001,1084063333
501001,1085890732
261502,1084011528
1862001,1084011528
1864001,1084011528
1950001,1084130935
1960001,1084131582
1820001,
2020001,1085378898
2030001,1085978187
1970001,1074534825
1980001,none
1990001,1085389423
2060001,1085378903
2050001,1085378649
870001,none
491302,none
491102,1087106993
491303,none
491403,none
491503,none
491103,none
491203,none
