legal ref nr,Formality_name,LGSL_ID,Legislation,Numeric_Admins,New code?
1910001,Miscellaneous Payments (1910001),349,None - special formality to pay fee shortfalls,7,349-7-1
1910301,Miscellaneous Payments (1910301),349,None - special formality to pay fee shortfalls,7,349-7-1
120001,Animal boarding establishment licence (120001),374,Animal Boarding Establishments Act 1963,6,374-6-1
120002,Animal boarding establishments (120002),374,Welfare of Animals Act (NI) 1972,4,374-4-1
120301,Animal boarding establishment licence (120301),374,Animal Boarding Establishments Act 1963,6,374-6-1
1120001,Pet shop licence (1120001),375,Pet Animals Act 1951,6,375-6-1
1120301,Pet shop licence (1120301),375,Pet Animals Act 1951,6,375-6-1
1460001,Scrap metal dealer registration (1460001),378,Scrap Metal Dealers' Act 1964,5,378-5-1
1460301,Scrap metal dealer registration (1460301),378,Scrap Metal Dealers' Act 1964,5,378-5-1
200001,Auction premises registration (200001),379,Greater London Council (general Powers) act 1984 Part VI,1,379-1-1
200111,Auction premises registration (200111),379,Landlord and Tenants Act 1954 Part 2,1,379-1-1
200131,Auction premises registration (200131),379,South Yorkshire Act 1980,1,379-1-1
200151,Auction premises registration (200151),379,Nottingham City Council Act 2003,1,379-1-1
200161,Auction premises registration (200161),379,County of Lancashire Act 1984,1,379-1-1
200171,Auction premises registration (200161),379,Humberside Act 1982,1,379-1-1
200301,Auction premises registration (200301),379,Greater London Council (general Powers) act 1984 Part VI,1,379-1-1
200411,Auction premises registration (200411),379,Landlord and Tenants Act 1954 Part 2,1,379-1-1
200431,Auction premises registration (200431),379,South Yorkshire Act 1980,1,379-1-1
200451,Auction premises registration (200451),379,Nottingham City Council Act 2003,1,379-1-1
200461,Auction premises registration (200461),379,County of Lancashire Act 1984,1,379-1-1
200471,Auction premises registration (200471),379,Humberside Act 1982,1,379-1-1
1030001,Nursing agency (1030001),381,Care Standards Act 2000,1,381-1-1
1030002,Nursing agency (1030002),381,Care Standards Act 2000,2,381-2-1
1030003,Nurse agency (1030003),381,Regulation of Care (Scotland) Act 2001,3,381-3-1
1030004,Nursing agency (1030004),381,tbd,4,381-4-1
1940001,Occupation of the road in connection with building work (1940001),382,Highways Act 1980,5,382-5-1
1940002,Occupation of the road in connection with building work (1940002),382,Roads (Scotland) Act 1984,3,381-3-1
1940301,Occupation of the road in connection with building work (1940301),382,Highways Act 1980,5,382-5-1
1940302,Occupation of the road in connection with building work (1940302),382,Roads (Scotland) Act 1984,3,381-3-1
1500001,Sex shop and cinema licence (1500001),388,Local Government (Miscellaneous Provisions) Act 1982,5,388-5-1
1500002,Sex establishment / sex cinema (1500002),388,Local Government (Miscellaneous Provisions) (Northern Ireland) Order 1985 (No- 1208 (N-I- 15)) Schedule 2,4,388-4-1
1500003,Sex shop (1500003),388,"Civic Government (Scotland) Act 1982, Section 45",3,388-3-1
1500301,Sex shop and cinema licence (1500301),388,Local Government (Miscellaneous Provisions) Act 1982,5,388-5-1
1500302,Sex establishment / sex cinema (1500302),388,Local Government (Miscellaneous Provisions) (Northern Ireland) Order 1985 (No- 1208 (N-I- 15)) Schedule 2,4,388-4-1
